Название,Категория
Определение прикуса (центрального соотношения челюстей),Инструментальная диагностика
Ультразвуковое исследование мочевого пузыря с определением остаточной мочи,Инструментальная диагностика
"Ультразвуковое исследование почек, надпочечников и забрюшинного пространства",Инструментальная диагностика
Ультразвуковое исследование желчного пузыря с определением его сократимости,Инструментальная диагностика
"Ультразвуковое исследование гепатобиллиарной зоны  (печень, желчные протоки, желчный пузырь)",Инструментальная диагностика
Ультразвуковое исследование селезенки,Инструментальная диагностика
Ультразвуковое определение жидкости в брюшной полости,Инструментальная диагностика
"Ультразвуковое исследование полых органов (желудка, кишечника)",Инструментальная диагностика
Ультразвуковое исследование печени,Инструментальная диагностика
Ультразвуковое исследование желчного пузыря и протоков,Инструментальная диагностика
Ультразвуковое исследование поджелудочной железы,Инструментальная диагностика
Ультразвуковое исследование печени  с эхоконтрастным усилением препаратом СоноВью (SonoView) (без стоимости контрастного вещества),Инструментальная диагностика
Ультразвуковое исследование поджелудочной железы с эхоконтрастным усилением препаратом СоноВью (SonoView) (без стоимости контрастного вещества),Инструментальная диагностика
Ультразвуковое исследование селезенки с эхоконтрастным усилением препаратом СоноВью (SonoView) (без стоимости контрастного вещества),Инструментальная диагностика
Ультразвуковое исследование кишечника с эхоконтрастным усилением препаратом СоноВью (SonoView) (без стоимости контрастного вещества),Инструментальная диагностика
Ультразвуковое исследование и эластография печени,Инструментальная диагностика
Фибросканирование печени,Инструментальная диагностика
Ультразвуковое исследование толстой кишки (УЗИ аппендикса),Инструментальная диагностика
Ультразвуковое исследование тонкой и толстой кишки (УЗИ кишечника),Инструментальная диагностика
Ультразвуковое исследование прямой кишки трансректальное,Инструментальная диагностика
Эластография печени с эластограммой и картированием,Инструментальная диагностика
Ультразвуковое исследование органов мошонки с эластографией,Инструментальная диагностика
Ультразвуковое исследование мочевого пузыря,Инструментальная диагностика
Ультразвуковое исследование предстательной железы трансректальное (ТРУЗИ),Инструментальная диагностика
Ультразвуковое исследование предстательной железы трансабдоминальное,Инструментальная диагностика
Ультразвуковое исследование полового члена и сосудов,Инструментальная диагностика
Ультразвуковое исследование надпочечников,Инструментальная диагностика
Ультразвуковое исследование почек,Инструментальная диагностика
Ультразвуковое исследование предстательной железы трансректальное (ТРУЗИ) с эластографией,Инструментальная диагностика
Кардиореспираторный мониторинг (стационарный),Инструментальная диагностика
Ультразвуковое исследование предстательной железы трансректальное (гистосканирование с компьютерным 3D-моделированием и дифференцировкой тканей),Инструментальная диагностика
Ультразвуковое исследование предстательной железы трансректальное (эластография и гистосканирование с компьютерным 3D-моделированием и дифференцировкой тканей),Инструментальная диагностика
Ультразвуковое исследование почек с эхоконтрастным усилением препаратом СоноВью (SonoView) (без стоимости контрастного вещества),Инструментальная диагностика
Ультразвуковое исследование предстательной железы  с эхоконтрастным усилением препаратом СоноВью (SonoView) (без стоимости контрастного вещества),Инструментальная диагностика
Ультразвуковое исследование уретры,Инструментальная диагностика
Ультразвуковое исследование предстательной железы и мочевого пузыря с определением остаточной мочи трансабдоминально,Инструментальная диагностика
"Ультразвуковое исследование в режиме 3D (мочевого пузыря/предстательной железы, дополнительно к основному исследованию)",Инструментальная диагностика
Ультразвуковое исследование легких,Инструментальная диагностика
Ультразвуковое исследование средостения,Инструментальная диагностика
Ультразвуковое исследование плевральной полости двустороннее,Инструментальная диагностика
Ультразвуковая денситометрия,Инструментальная диагностика
Ультразвуковое исследование сустава (двух  крупных одноименных),Инструментальная диагностика
Ультразвуковое исследование позвоночника (один отдел),Инструментальная диагностика
"Ультразвуковое исследование мелких суставов (одна анатомическая область, двустороннее)",Инструментальная диагностика
Ультразвуковое исследование сустава (лонного сочленения),Инструментальная диагностика
Эхогистеросальпингоскопия,Инструментальная диагностика
Ультразвуковое исследование матки и придатков трансабдоминальное,Инструментальная диагностика
Ультразвуковое исследование и эластография матки и придатков трансвагинальное,Инструментальная диагностика
Ультразвуковое исследование матки и придатков трансвагинальное с допплерографией,Инструментальная диагностика
Ультразвуковое исследование матки и придатков (трансвагинальное и трансабдоминальное),Инструментальная диагностика
Ультразвуковое исследование матки и придатков трансректальное,Инструментальная диагностика
Трансперинеальное ультразвуковое исследование состояния тазового дна (для женщин),Инструментальная диагностика
Ультразвуковое исследование органов малого таза комплексное (трансвагинальное и трансабдоминальное) (в режиме трехмерной ультрасонографии),Инструментальная диагностика
Ультразвуковое исследование фолликулогенеза (однократно),Инструментальная диагностика
"Ультразвуковое исследование матки, придатков  и плода при сроке беременности до тринадцати недель в режиме 3D",Инструментальная диагностика
Ультразвуковое исследование плода во II / III  триместре беременности в режиме 3D,Инструментальная диагностика
Ультразвуковое исследование плода во II / III  триместре беременности  в режиме 3D  с допплеровским анализом показателей кровотока,Инструментальная диагностика
"Ультразвуковое исследование матки, придатков  и плода при сроке беременности до тринадцати недель",Инструментальная диагностика
Ультразвуковая допплерография маточно-плацентарного кровотока,Инструментальная диагностика
Ультразвуковое исследование биофизического профиля матки (оценка готовности матки к беременности),Инструментальная диагностика
Ультразвуковое исследование шейки матки трансвагинальное (УЗ-цервикометрия),Инструментальная диагностика
Дуплексное сканирование артерий верхних конечностей,Инструментальная диагностика
Дуплексное сканирование вен верхних конечностей,Инструментальная диагностика
"Ультразвуковое скрининговое исследование при сроке беременности 11-14 недель по оценке антенатального развития плода для выявления хромосомных аномалий, пороков развития, рисков задержки роста плода, преждевременных родов, преэклампсии, скрининг I",Инструментальная диагностика
"Ультразвуковое скрининговое иссл-е при сроке берем-ти 11-14 недель по оценке антенатального развития плодов для выявления хромосом. аномалий, пороков развития, рисков задержки роста плода, преждеврем.родов, преэклампсии при многоплод. берем-ти, скрининг I",Инструментальная диагностика
"Ультразвуковое скрининговое исследование при сроке беременности 19-21 неделя по оценке антенатального развития плода для выявления хромосомных аномалий, пороков развития, рисков задержки роста плода, преждевременных родов, преэклампсии, скрининг II",Инструментальная диагностика
"Ультразвуковое скрининговое иссл-е при сроке берем-ти 19-21 неделя по оценке антенатального развития плодов для выявления хромосом.аномалий, пороков развития, рисков задержки роста плода, преждеврем.родов, преэклампсии при многоплод. берем-ти, скрининг II",Инструментальная диагностика
Ультразвуковое исследование плода во II / III триместре беременности,Инструментальная диагностика
Ультразвуковое исследование плодов в II / III триместре многоплодной беременности,Инструментальная диагностика
"Ультразвуковое исследование в режиме 3D (матки/яичников, дополнительно к основному исследованию)",Инструментальная диагностика
Ультразвуковое исследование паращитовидных желез,Инструментальная диагностика
Ультразвуковое исследование и эластография щитовидной железы и паращитовидных желез,Инструментальная диагностика
Ультразвуковое исследование молочных желез и эластография молочных желез,Инструментальная диагностика
"Ультразвуковое исследование лимфатических узлов (одна анатомическая зона), двустороннее",Инструментальная диагностика
"Ультразвуковое исследование околоносовых пазух (верхнечелюстных), двустороннее",Инструментальная диагностика
Ультразвуковое исследование мягких тканей (одна анатомическая зона),Инструментальная диагностика
Ультразвуковое исследование слюнных желез  двустороннее,Инструментальная диагностика
Ультразвуковая биометрия глаза одного,Инструментальная диагностика
Ультразвуковая допплерография сосудов глаза одного,Инструментальная диагностика
Ультразвуковое исследование вилочковой железы,Инструментальная диагностика
Ультразвуковое исследование периферических нервов (одна анатомическая область),Инструментальная диагностика
"Ультразвуковое исследование лимфатических узлов (две анатомические  зоны), двустороннее",Инструментальная диагностика
Ультразвуковое исследование гортани,Инструментальная диагностика
Ультразвуковая биометрия глаза с допплерографией сосудов глаза одного,Инструментальная диагностика
"Ультразвуковое исследование сухожилий  (одна анатомическая зона), двустороннее",Инструментальная диагностика
Ультразвуковое исследование мягких тканей с эластографией (одна анатомическая зона),Инструментальная диагностика
Ультразвуковое исследование молочных желез (автоматизированное 3D исследование),Инструментальная диагностика
"Ультразвуковое исследование молочных желез (прицельное, с маммографической навигацией)",Инструментальная диагностика
Ультразвуковое исследование кожи (одна анатомическая зона),Инструментальная диагностика
"Ультразвуковое исследование кожи (на наличие инородных тел, филлеров и армирующих нитей) (одна анатомическая зона)",Инструментальная диагностика
Ультразвуковая допплерография транскраниальная артерий и вен (ТКДГ),Инструментальная диагностика
Дуплексное сканирование вен нижних конечностей,Инструментальная диагностика
Ультразвуковая допплерография магистральных артерий головы и шеи (УЗДГ МАГ),Инструментальная диагностика
Дуплексное исследование внутриорганного артериального кровотока почек,Инструментальная диагностика
Дуплексное сканирование внутренних яремных и позвоночных вен,Инструментальная диагностика
Дуплексное сканирование сосудов (артерий и вен) верхних конечностей,Инструментальная диагностика
Дуплексное сканирование артерий почек,Инструментальная диагностика
Дуплексное сканирование сосудов гепатобиллиарной зоны,Инструментальная диагностика
Ультразвуковое определение функции эндотелия,Инструментальная диагностика
Расшифровка результатов определения функции эндотелия,Инструментальная диагностика
Дуплексное сканирование брахиоцефальных артерий с цветным допплеровским картированием кровотока,Инструментальная диагностика
Дуплексное сканирование сосудов (артерий и вен) нижних конечностей,Инструментальная диагностика
Дуплексное сканирование брюшного отдела аорты и ее висцеральных ветвей,Инструментальная диагностика
Дуплексное сканирование нижней полой вены и подвздошных вен,Инструментальная диагностика
Дуплексное сканирование экстракраниальных отделов брахиоцефальных артерий с эхоконтрастным усилением препаратом СоноВью (SonoView) (без стоимости контрастного вещества),Инструментальная диагностика
Ультразвуковая допплерография транскраниальная артерий и вен (ТКДГ с позиционными пробами),Инструментальная диагностика
Внутрисосудистое ультразвуковое исследование сосудистой стенки,Инструментальная диагностика
Допплерография сосудов полового члена с лекарственными препаратами,Инструментальная диагностика
Дуплексное сканирование экстракраниальных отделов брахиоцефальных артерий,Инструментальная диагностика
Дуплексное cканирование интракраниальных отделов брахиоцефальных артерий,Инструментальная диагностика
Дуплексное сканирование сосудов (артерий и вен) нижних конечностей с эхоконтрастным усилением препаратом СоноВью (SonoView) (без учета контрастного вещества),Инструментальная диагностика
Эхоэнцефалография в М-режиме,Инструментальная диагностика
Ультразвуковая навигация для проведения малоинвазивной манипуляции,Инструментальная диагностика
"Ультразвуковое исследование тазобедренного сустава (двустороннее, для детей до 1 года)",Инструментальная диагностика
Регистрация электрокардиограммы по Небу (дополнительно к основной ЭКГ),Инструментальная диагностика
Электрокардиография с применением лекарственных препаратов (дополнительно к основной ЭКГ),Инструментальная диагностика
Регистрация электрокардиограммы после ортостатической пробы (дополнительно к основной ЭКГ),Инструментальная диагностика
Электрокардиография с физической нагрузкой - бег на месте (дополнительно к основной ЭКГ),Инструментальная диагностика
Электрокардиография с физической нагрузкой - 20 приседаний (дополнительно к основной ЭКГ),Инструментальная диагностика
Велоэргометрия,Инструментальная диагностика
Тредмилтест,Инструментальная диагностика
Холтеровское мониторирование сердечного ритма (длительностью до 6 часов),Инструментальная диагностика
Холтеровское мониторирование сердечного ритма (длительностью до 16 часов),Инструментальная диагностика
Холтеровское мониторирование сердечного ритма (длительностью до 24 часов),Инструментальная диагностика
Холтеровское мониторирование сердечного ритма (длительностью до 48 часов),Инструментальная диагностика
Суточное мониторирование артериального давления,Инструментальная диагностика
Холтеровское мониторирование сердечного ритма и суточное мониторирование артериального давления (длительностью до 24 часов),Инструментальная диагностика
"Холтеровское мониторирование сердечного ритма (12-ти канальное, до 24 ч.)",Инструментальная диагностика
Мониторирование электрокардиографических данных с оценкой функции кардиостимулятора (длительностью до 24 часов),Инструментальная диагностика
Электрокардиография в 12-ти отведениях с проведением пассивной ортостатической пробы (Тилт-тест),Инструментальная диагностика
Холтеровское мониторирование сердечного ритма (длительностью до 72 часов),Инструментальная диагностика
Стрессэхокардиография с фармакологической нагрузкой,Инструментальная диагностика
Стрессэхокардиография с физической нагрузкой,Инструментальная диагностика
Эхокардиография чреспищеводная,Инструментальная диагностика
Реоэнцефалография с пробами,Инструментальная диагностика
Реоэнцефалография,Инструментальная диагностика
Определение лодыжечно-плечевого индекса (скрининг периферического атеросклероза сосудов),Инструментальная диагностика
Пульсоксиметрия,Инструментальная диагностика
Исследование пульса (сфигмография),Инструментальная диагностика
Исследование неспровоцированных дыхательных объемов и потоков (спирография),Инструментальная диагностика
Бодиплетизмография,Инструментальная диагностика
Исследование неспровоцированных дыхательных объемов и потоков с использованием пикфлоуметра,Инструментальная диагностика
Исследование дыхательных объемов с применением лекарственных препаратов (при спирографии),Инструментальная диагностика
Кардиореспираторный мониторинг,Инструментальная диагностика
Подбор СИПАП терапии,Инструментальная диагностика
Коррекция СИПАП терапии,Инструментальная диагностика
Мониторинг СИПАП-терапии,Инструментальная диагностика
Электрокардиография в 12-ти отведениях,Инструментальная диагностика
Исследование диффузионной способности легких (метод одного вдоха),Инструментальная диагностика
Исследование диффузионной способности легких с бодиплетизмографией,Инструментальная диагностика
Эргоспирометрия,Инструментальная диагностика
Электроэнцефалография,Инструментальная диагностика
Электроэнцефалография с нагрузочными пробами,Инструментальная диагностика
"Электроэнцефалография с видеомониторингом, 2 часа (без видеозаписи)",Инструментальная диагностика
"Электроэнцефалография с видеомониторингом, 4 часа (с видеозаписью)",Инструментальная диагностика
"Электроэнцефалография с видеомониторингом, дневная, 8 часов (с видеозаписью)",Инструментальная диагностика
"Электроэнцефалография с видеомониторингом, ночная, 8 часов (с видеозаписью)",Инструментальная диагностика
Электроэнцефалография с видеомониторингом (2-4 часа),Инструментальная диагностика
Электроэнцефалография с видеомониторингом (7-12 часов),Инструментальная диагностика
Электроэнцефалография с видеомониторингом (14-26 часов),Инструментальная диагностика
Электронейромиография,Инструментальная диагностика
Исследование вибрационной чувствительной при патологии периферической нервной системы,Инструментальная диагностика
Исследование длиннолатентных вызванных потенциалов (слуховых),Инструментальная диагностика
Электронейромиография  электродами (один нерв) двусторонняя,Инструментальная диагностика
Исследование нервного корешка (периферическая магнитная стимуляция +H рефлекс+ ответ),Инструментальная диагностика
Электромиография накожная-декремент-тест (одна анатомическая зона),Инструментальная диагностика
Электромиография игольчатая (одна мышца),Инструментальная диагностика
Ноцицептивный рефлекс,Инструментальная диагностика
Регистрация кожных вызванных потенциалов,Инструментальная диагностика
Исследование чувствительной и двигательной сферы при патологии периферической нервной системы (биотензиометрия),Инструментальная диагностика
Стабиллометрия,Инструментальная диагностика
Электронейромиография стимуляционная при полинейропатии,Инструментальная диагностика
Электронейромиография стимуляционная при нейропатии лицевого нерва,Инструментальная диагностика
Электронейромиография стимуляционная с прозериновой пробой,Инструментальная диагностика
Электронейромиография стимуляционная при радикулопатии,Инструментальная диагностика
Электронейромиография стимуляционная при плексопатии,Инструментальная диагностика
Электронейромиография стимуляционная/игольчатая при болезни мотонейрона,Инструментальная диагностика
Электронейромиография стимуляционная одного нерва (под контролем УЗИ),Инструментальная диагностика
Электромиография мышц тазового дна,Инструментальная диагностика
"Чрескожная магнитная стимуляция головного и спинного мозга диагностическая, 1 зона",Инструментальная диагностика
"Чрескожная магнитная стимуляция головного и спинного мозга диагностическая, 1 зона ( в палате)",Инструментальная диагностика
"Чрескожная магнитная стимуляция головного  мозга лечебная, 1 процедура",Инструментальная диагностика
"Чрескожная периферическая магнитная стимуляция лечебная, 1 процедура",Инструментальная диагностика
"Регистрация вызванных потенциалов головного мозга одной модальности (зрительные, когнитивные, акустические, стволовые)",Инструментальная диагностика
"Регистрация вызванных потенциалов головного мозга одной модальности (зрительные, когнитивные, акустические, стволовые) в палате",Инструментальная диагностика
Регистрация вызванных потенциалов головного мозга одной модальности (сомато-сенсорные) 1 уровень стимуляции,Инструментальная диагностика
Регистрация вызванных потенциалов головного мозга одной модальности (сомато-сенсорные) 1 уровень стимуляции в палате,Инструментальная диагностика
"Электронейромиография стимуляционная одного нерва (M или S-ответы нерва), односторонняя",Инструментальная диагностика
"Электронейромиография стимуляционная одного нерва (M или S-ответы нерва), двусторонняя",Инструментальная диагностика
"Электромиография накожная (одна анатомическая зона), поздние ответы нерва",Инструментальная диагностика
Электромиография игольчатая (2 мышцы),Инструментальная диагностика
Электромиография игольчатая (3 и более мышц),Инструментальная диагностика
Диагностика туннельного синдрома (одна зона),Инструментальная диагностика
